label,events_per_second_ratio,idle_ratio,brainrot_ratio,productive_ratio,keyboard_to_scroll_ratio,event_rate_variance,scroll_direction_changes
focused,9.575,0.004351610095735422,0.0,0.18973020017406442,0.08587786240711133,1854.75,127
focused,5.2,0.004807692307692308,0.0,0.47115384615384615,0.10857142837786123,171.2,95
focused,4.841666666666667,0.0,0.9070567986230637,0.09294320137693632,0.03926701564708342,4530.7,122
focused,8.191666666666666,0.003051881993896236,0.9450661241098678,0.054933875890132246,0.022421524630731902,3520.9444444444443,162
focused,9.241666666666667,0.0018034265103697023,1.0,0.0,0.02269503542529249,3104.2678571428573,130
focused,10.491666666666667,0.0007942811755361397,0.6568705321683876,0.3431294678316124,0.18894830617132635,3354.111111111111,132
focused,15.6,0.002670940170940171,0.0641025641025641,0.9358974358974359,0.33418367187349024,18169.0,80
focused,26.933333333333334,0.0018564356435643563,0.05662128712871287,0.78125,0.0704022985236491,64812.61111111111,118
focused,20.3,0.0024630541871921183,0.13752052545155993,0.6473727422003284,0.08880994632976727,62665.99999999999,116
focused,21.441666666666666,0.002331908278274388,0.1566265060240964,0.8433734939759037,0.04598490039923188,91975.61111111112,468
focused,24.233333333333334,0.0020632737276478678,0.1468363136176066,0.8531636863823934,0.016227180503454036,90332.95238095238,606
focused,15.65,0.002129925452609159,0.09531416400425985,0.9046858359957402,0.006612784707994997,71094.25,389
focused,13.6,0.001838235294117647,0.28921568627450983,0.7107843137254902,0.002298850570400317,81930.8,252
focused,5.5,0.010606060606060607,0.7818181818181819,0.21818181818181817,0.00704225348839516,7357.25,37
focused,23.266666666666666,0.00035816618911174784,0.23853868194842406,0.44269340974212035,0.014416775831911352,47888.19444444444,240
focused,23.158333333333335,0.0003598416696653472,0.24937027707808565,0.2025908600215905,0.019058295904749997,53006.69444444445,266
focused,10.791666666666666,0.0,0.02084942084942085,0.036293436293436294,0.030769230681656802,1670.361111111111,130
focused,9.758333333333333,0.0,0.0,0.035866780529461996,0.06647398821433224,1338.3611111111109,96
focused,9.941666666666666,0.0,0.0,0.0,0.06271776990449077,1290.7777777777778,140
focused,10.033333333333333,0.0,0.0,0.0,0.22520107165913647,1858.4444444444443,74
focused,9.958333333333334,0.0,0.0,0.0,0.6927710793502322,1659.1944444444446,42
focused,9.741666666666667,0.0,0.0,0.0,0.2229729720923804,1289.861111111111,86
focused,10.166666666666666,0.0,0.0,0.0,0.2706270616166171,1558.5277777777776,86
focused,8.366666666666667,0.00099601593625498,0.0,0.14940239043824702,0.43611110989484564,3539.5277777777774,60
focused,7.741666666666666,0.002152852529601722,0.023681377825618945,0.6071044133476857,0.1847389554786697,1624.1944444444443,62
focused,9.325,0.0008936550491510277,0.01966041108132261,0.7247542448614834,0.0,1025.75,166
focused,9.208333333333334,0.0018099547511312218,0.0,0.6968325791855203,0.008739076142750714,1171.6944444444443,182
focused,9.041666666666666,0.0018433179723502304,0.0,0.752073732718894,0.012571428555840002,1152.0277777777778,188
focused,9.233333333333333,0.0009025270758122744,0.0,0.44314079422382674,0.012330456210034348,1566.8611111111113,192
focused,9.333333333333334,0.0008928571428571428,0.0,0.30178571428571427,0.01418439712556377,1584.2777777777778,76
focused,8.916666666666666,0.001869158878504673,0.48130841121495327,0.2719626168224299,0.0035026269636640795,1062.8611111111113,74
focused,7.441666666666666,0.0011198208286674132,0.9932810750279956,0.0011198208286674132,0.017991004473664217,2228.2678571428573,78
focused,3.1,0.0,1.0,0.0,0.041493775869561475,1604.6666666666667,20
